,county,state_fips,county_fips,Overall Population,"White, non-Hispanic population",Black alone population,Native American alone population,Asian population,Hispanic population,Overall population in labor force,"White, non-Hispanic labor force",Native American alone labor force,Black alone labor force,Asian labor force,Hispanic labor force,Ratio of Native American participation to white participation,"Ratio of Black, Asian, and Hispanic participation to white participation",Overall managerial,"White, non-Hispanic managerial",Native American alone managerial,Black alone managerial,Asian managerial,Hispanic managerial,Ratio of Native American rates to white rates,"Ratio of Black, Asian and Hispanic rates to white rates",Overall median earnings,"White, non-Hispanic median earnings",Black alone median earnings,Native American alone median earnings,Asian median earnings,Hispanic median earnings,Overall population with BA or better,"White, non-Hispanic with BA or better",Black alone with BA or better,Native American alone with BA or better,Asian with BA or better,Hispanic with BA or better,Ratio of Native Americans to whites with BA or more education,Overall percentage below the poverty level,"White, non-Hispanic below poverty level",Black alone below poverty level,Native American alone below poverty level,Asian below poverty level,Hispanic below poverty level,Ratio of Native Americans to whites below poverty level,Overall percentage with health insurance,"White, non-Hispanic with health insurance",Black alone with health insurance,Native American alone with health insurance,Asian with health insurance,Hispanic with health insurance,Ratio of Native Americans to whites with health insurance
40,Milwaukee County,55,079,949180,477362,250134,5049,42052,146352,482884,65.6,61.4,59.8,67.4,69.4,0.9359756097560976,2.9969512195121957,166139,null,930.4655674102813,19560.461367420197,10879.158050601945,105699.24830102296,0.006194170959118472,0.756723935580622,34226,42438,25259,28028,33089,26859,197643,null,13.7,18.2,42.1,12.8,null,18.3,9.5,31.6,19.4,23.0,22.4,2.0421052631578944,92.8,96.0,92.7,88.2,91.4,82.7,0.9187500000000001
41,Monroe County,55,081,46155,41604,850,503,388,2213,22932,63.8,56.4,68.6,53.6,75.7,0.884012539184953,3.1018808777429463,6464,null,36.29896907216495,93.99684044233807,119.4878892733564,1932.1261115602263,0.004650390300614516,0.2057797708021923,36005,36793,33135,21888,30000,30407,6661,null,22.9,19.3,52.2,20.3,null,9.8,9.6,6.2,20.3,0.8,16.2,2.1145833333333335,91.0,92.0,78.7,88.1,82.0,78.2,0.9576086956521739
42,Oconto County,55,083,37870,35794,109,508,111,739,19460,62.5,47.2,20.2,69.3,70.8,0.7552000000000001,2.5648,5782,null,22.657276995305164,14.0,45.88,458.92237442922374,0.0033356741573033707,0.05565308988764045,38054,38812,-666666666,21563,32000,24740,4733,null,42.7,11.7,8.8,5.1,null,null,8.3,6.7,23.5,4.5,25.5,2.831325301204819,96.0,96.4,100.0,89.9,100.0,80.5,0.9325726141078838
43,Outagamie County,55,087,186829,162791,2751,2813,6543,8272,104153,70.0,64.9,68.1,71.8,75.5,0.9271428571428573,3.077142857142857,35972,null,392.26170009551095,200.80291970802918,1447.683370377854,6442.05171423099,0.00866751758734305,0.1573510641455668,38721,40445,20810,26373,31409,26726,38120,null,12.4,15.6,30.6,16.8,null,7.1,5.4,29.5,22.3,13.4,20.5,4.12962962962963,95.2,96.3,89.8,77.8,91.9,83.2,0.8078920041536863
44,Ozaukee County,55,089,89179,81109,1319,162,1884,2782,48281,66.3,61.1,51.2,70.6,78.5,0.9215686274509804,3.021116138763198,23149,null,74.29299363057325,235.76961271102283,1005.6896329684482,2278.450659630607,0.0033622863547212102,0.11959465770056972,44805,44620,31484,64402,83287,42054,30900,null,42.5,39.7,56.0,45.9,null,null,4.6,12.1,7.9,5.8,5.8,1.7173913043478264,97.3,97.5,95.5,75.2,97.0,94.9,0.7712820512820513
45,Pepin County,55,091,7261,6983,24,21,27,150,3790,63.9,100.0,12.5,88.9,60.2,1.5649452269170578,2.528951486697966,1103,null,14.0,6.0,11.0,137.75510204081633,0.012962962962962963,0.09907407407407408,35939,35833,-666666666,62375,24107,25227,1053,null,42.9,52.4,56.0,5.0,null,null,10.2,33.3,0.0,0.0,42.4,0.0,91.9,92.2,100.0,100.0,100.0,77.1,1.0845986984815619
46,Pierce County,55,093,42336,39570,309,94,409,980,24258,70.4,53.1,72.4,34.0,75.1,0.7542613636363636,2.578125,8009,null,18.567901234567902,47.08571428571428,37.59610027855153,828.5173501577287,0.00201333836667925,0.07562602239838932,34278,34807,-666666666,-666666666,15652,40972,7977,null,25.2,36.4,42.6,19.3,null,null,8.3,24.3,0.0,15.8,14.9,0.0,95.8,96.4,83.7,100.0,76.4,81.3,1.0373443983402488
47,Polk County,55,095,43549,41298,219,392,178,845,22669,63.4,57.9,41.9,83.2,69.7,0.9132492113564669,3.072555205047319,7267,null,26.64077669902913,10.186046511627907,35.08029197080292,579.9630996309963,0.0029391182645206438,0.056962911126662,36943,37413,22031,22361,31467,26597,7131,null,13.7,12.9,26.4,6.3,null,null,8.6,20.6,23.7,9.6,26.6,2.755813953488372,94.2,94.5,85.8,83.0,82.0,83.1,0.8783068783068783
48,Portage County,55,097,70822,64306,531,174,2257,2379,39007,66.2,77.5,61.5,66.9,71.7,1.1706948640483383,3.0226586102719035,13409,null,65.25,31.65853658536585,549.3917790622993,1748.8212927756654,0.003490807540144287,0.1210922348925607,31447,32079,30429,-666666666,26908,28309,15310,null,21.7,39.1,48.6,30.5,null,10.9,10.3,22.5,30.5,7.1,20.0,2.9611650485436893,95.1,96.2,82.5,61.5,88.8,83.0,0.6392931392931392
49,Price County,55,099,13351,12530,73,126,84,254,6531,56.7,68.4,64.4,57.4,71.3,1.2063492063492063,3.4056437389770724,1765,null,12.923076923076923,0.0,7.411764705882353,279.4,0.006944444444444444,0.15625,31352,31801,4013,-666666666,29063,35804,1739,null,0.0,17.3,33.3,2.8,null,null,11.6,32.9,8.5,20.2,18.3,0.7327586206896552,94.5,95.3,100.0,93.3,79.8,91.3,0.9790136411332634
50,Racine County,55,101,195859,138845,22086,988,2619,26795,99318,64.3,54.8,54.1,58.4,70.8,0.8522550544323484,2.850699844479005,30661,null,212.1626429479034,1318.485168832784,686.5928670680871,19589.494159011,0.00642316901676105,0.5479837330394132,36526,41757,23453,45174,48217,26211,34569,null,9.9,18.1,40.3,11.9,null,12.3,7.9,34.1,8.0,13.2,18.0,1.0126582278481011,95.1,96.8,94.4,92.4,92.2,87.5,0.9545454545454546
51,Richland County,55,103,17408,16368,109,37,124,433,8330,59.6,57.1,40.7,27.9,60.3,0.9580536912751678,2.1627516778523486,2260,null,6.607142857142857,0.0,5.081967213114754,312.72222222222223,0.002224199288256228,0.08318505338078291,32733,33604,7667,-666666666,11344,20455,2437,null,10.0,0.0,31.8,12.8,null,null,12.2,34.7,2.7,42.2,21.3,0.2213114754098361,91.4,92.6,97.1,78.4,55.6,63.7,0.8466522678185746
52,Rock County,55,105,162532,133095,7510,486,1801,14693,83965,64.7,58.5,62.0,55.5,74.5,0.9041731066460587,2.9675425038639873,24956,null,180.77628032345012,726.3836646963998,319.2571041948579,11441.680087767416,0.005972991689750693,0.34193213296398894,34700,36344,27181,31750,36689,25543,26088,null,14.2,25.2,42.3,15.1,null,12.2,9.9,25.5,9.9,13.6,24.7,1.0,94.3,95.8,92.3,96.5,88.6,82.4,1.0073068893528183
53,Rusk County,55,107,14074,13305,88,40,29,279,6686,58.3,63.0,29.5,72.4,82.8,1.0806174957118353,3.1680960548885078,1540,null,4.444444444444444,0.0,3.0,205.39877300613497,0.0019442644199611147,0.0797148412184057,31070,31091,64000,-666666666,-666666666,24129,1741,null,11.5,0.0,0.0,2.5,null,null,10.6,55.9,14.8,65.5,11.2,1.3962264150943398,92.6,92.5,100.0,92.5,89.7,94.3,1.0
54,Sauk County,55,111,64152,58095,451,804,331,3426,35026,67.9,66.9,43.3,88.4,81.1,0.9852724594992637,3.1340206185567006,11163,null,264.64400715563505,12.776203966005665,118.85328185328184,3076.4081632653065,0.017312758750470454,0.1877117049303726,35557,35622,43547,41583,45799,32822,10646,null,20.3,5.4,62.4,18.9,null,8.9,8.5,27.1,8.6,4.5,10.8,1.011764705882353,93.6,94.1,77.8,80.5,98.2,86.4,0.8554729011689692
55,Sawyer County,55,113,16477,12652,66,2781,90,455,7823,53.6,69.5,42.6,74.4,77.6,1.296641791044776,3.630597014925373,2132,null,532.5629590766001,19.475409836065573,15.69767441860465,419.1167192429022,0.21037463976945245,0.1873198847262248,30064,31679,-666666666,24811,55781,30343,3080,null,15.5,9.9,21.2,26.7,null,null,9.2,25.7,35.6,1.1,28.7,3.8695652173913047,92.4,94.5,88.6,84.7,98.9,72.3,0.8962962962962964
56,Shawano County,55,115,40813,35204,178,2879,177,1209,20492,61.7,62.7,31.5,51.2,64.1,1.0162074554294975,2.379254457050243,5782,null,331.8306112925805,57.34228187919463,25.902439024390244,665.0307076101469,0.04579162031887282,0.08972932888394512,32632,33719,55446,27959,-666666666,19451,4769,null,24.8,12.0,44.9,13.7,null,null,8.2,3.9,22.9,7.0,17.3,2.7926829268292686,93.4,95.3,100.0,79.8,93.0,76.1,0.8373557187827911
57,Sheboygan County,55,117,115152,96192,2344,320,6789,7615,61521,65.2,58.5,62.4,77.7,74.9,0.8972392638036809,3.2975460122699385,18611,null,48.903654485049834,327.00743281875356,1098.5973362930076,5646.722811395301,0.0026555824962475466,0.26203671631451336,37772,40396,30819,-666666666,31168,26982,20605,null,8.8,20.8,21.7,13.2,null,7.0,5.8,22.1,16.7,10.8,14.1,2.8793103448275863,95.9,96.9,94.6,93.8,94.6,86.1,0.9680082559339525
